,ds,y,pos_attr_y,neg_attr_y,sine_spiky_a,pos_attr_sine_spiky_a,neg_attr_sine_spiky_a,sine_spiky_b,pos_attr_sine_spiky_b,neg_attr_sine_spiky_b
81,80139,-0.12470436,0.09785164,0.0,-0.12470436,8.5745364e-07,0.0,-0.12470436,3.8384414e-08,0.0
82,80140,0.49823663,0.0,2.292985e-08,0.49823663,0.0,2.7837683e-07,0.49823663,0.0,1.9798136e-07
83,80141,1.0724057,0.0,2.9107728e-08,1.0724057,0.0,4.1108927e-07,1.0724057,0.0,4.6829686e-07
84,80142,1.5415982,0.0,2.1452026e-07,1.5415982,0.0,8.1927607e-07,1.5415982,0.0,7.3800663e-07
85,80143,1.8598853,0.0,1.1391873e-07,1.8598853,0.0,7.0677424e-07,1.8598853,0.0,8.284115e-07
86,80144,1.9961103,0.0,1.1161324e-07,1.9961103,0.0,3.6043778e-07,-3.0038896,8.028142e-08,0.0
87,80145,1.9369383,0.0,9.5469936e-08,1.9369383,0.0,1.8544962e-07,1.9369383,0.0,1.649349e-07
88,80146,1.6881615,0.0,1.5285462e-07,1.6881615,0.0,9.468726e-07,1.6881615,0.0,6.897619e-07
89,80147,1.2741323,0.0,1.1861287e-07,1.2741323,0.0,2.2037695e-07,1.2741323,0.0,1.1046755e-07
90,80148,0.73537976,0.0,7.477394e-08,0.73537976,0.0,1.4747542e-07,0.73537976,0.0,2.2212869e-07
91,80149,0.12464165,0.0,2.5314197e-08,0.12464165,0.0,3.3548716e-08,0.12464165,5.187306e-07,0.0
92,80150,-0.49829745,9.5267715e-08,0.0,-0.49829745,1.9848821e-07,0.0,-0.49829745,2.1481453e-07,0.0
93,80151,-1.0724587,4.4199393e-08,0.0,-1.0724587,1.368627e-07,0.0,-1.0724587,1.901963e-07,0.0
94,80152,-1.5416383,0.0,2.3833152e-07,-1.5416383,8.243549e-08,0.0,-1.5416383,1.020191e-07,0.0
95,80153,-1.8599085,0.0,1.9544068e-06,-1.8599085,4.4289337e-07,0.0,-1.8599085,2.2478886e-08,0.0
